"""P_Name""", """hex1""", """hex2""", """hex3""", """hex4""", """hex5"""
"""PURE BLUE""","""#000087""","""#0000cd""","""#4949f2""","""#9b9bf9""","""#f2f2ff"""
"""PURE RED""","""#870002""","""#cd0003""","""#f2494c""","""#f99b9d""","""#fff2f2"""
"""SPORT""","""#3261e3""","""#4191eb""","""#d0e6fa""","""#ffc852""","""#ffffff"""
"""MINT""","""#13bf83""","""#61eb8f""","""#7fe7f0""","""#c9f8ff""","""#d9fff7"""
"""FULLNESS""","""#1c22c7""","""#637aff""","""#ff9a57""","""#ffd359""","""#e3e3e3"""
"""PUMPKIN""","""#000000""","""#ff6200""","""#ff8a36""","""#ffc496""","""#ffffff"""
"""JENNA""","""#c514cc""","""#930d99""","""#6a00ff""","""#ffe640""","""#cca214"""
"""OCEAN CLIFF""","""#2e2c1d""","""#b49f74""","""#c4c8b1""","""#e9e6d3""","""#3f695f"""
"""BEACH""","""#569d00""","""#e6d8cb""","""#4c9ee7""","""#0cb0c9""","""#00759d"""
"""SUNSET""","""#622150""","""#ff4a29""","""#ff8a18""","""#ffae2e""","""#fff332"""
"""PINK DANIO""","""#e20248""","""#fe79c8""","""#fdb7f3""","""#fcd47d""","""#cd87a1"""
"""ORCA""","""#354a4d""","""#717f80""","""#f5f0dc""","""#f0fff8""","""#fa7298"""
"""CROCODILE""","""#181a0f""","""#595d38""","""#8c935d""","""#9d904c""","""#d0c78c"""
"""ROSEL""","""#d68596""","""#a8384b""","""#14203d""","""#eecdeb""","""#361222"""
"""NATURE""","""#2a7e5e""","""#255a6f""","""#3cb2b4""","""#6acd84""","""#f4fbf4"""
"""FUTURE""","""#10005d""","""#1b289a""","""#3351e5""","""#f3bd81""","""#860b9a"""
"""CHOMP""","""#5D688A""","""#DD7661""","""#FACB4A""","""#E4E2E1""","""#3B3F59"""
"""NINJA""","""#354696""","""#F5F4B8""","""#67BCE6""","""#E5788C""","""#FDFEFF"""
"""TILE""","""#81C37B""","""#A14945""","""#FFF5D9""","""#548355""","""#F0B46E"""
"""Y""","""#E8956C""","""#F5EAB2""","""#44687B""","""#F8FBFD""","""#EA6E49"""
"""KOI""","""#ED5C3F""","""#F6F8F7""","""#2B2A3A""","""#C8483B""","""#F6F8F7"""
"""KITSUNE""","""#FFFFFF""","""#A1C9EE""","""#E83600""","""#763128""","""#000000"""
"""HIPPOCAMPUS""","""#DEF0FC""","""#93C5EA""","""#488DD2""","""#FFFDF4""","""#A2E9FD"""
